Username,Produk,Review,Rating,ReviewAt
user_23937,Jam Tangan Digital,Tidak direkomendasikan sama sekali.,2,2024-02-12
user_15339,Meja Belajar,"Barang palsu, bukan original.",2,2024-11-23
user_2645,Keyboard Mechanical,Sudah komplain tapi tidak ada solusi.,1,2024-01-13
user_22401,Keyboard Mechanical,"Barang palsu, bukan original.",3,2024-08-30
user_10675,Kemeja Pria,Penjual tidak merespon chat.,2,2023-07-30
user_690,Buku Catatan,Ukuran tidak sesuai deskripsi.,1,2024-10-10
user_14326,Kursi Lipat,Warna tidak sesuai pesanan.,1,2024-06-26
user_799,Headset Gaming,Pengiriman sangat lama.,1,2024-08-25
user_761,Kursi Lipat,"Servis buruk, tidak profesional.",3,2024-05-22
user_15067,Rak Sepatu,Baru dipakai sebentar sudah rusak.,1,2023-05-29
user_24670,Skincare Serum,Penjual tidak merespon chat.,2,2024-03-10
user_13977,Skincare Serum,Kualitas sangat buruk.,3,2024-10-20
user_16083,Parfum Wanita,Sangat kecewa dengan produk ini.,3,2023-01-18
user_19752,Keyboard Mechanical,Kualitas sangat buruk.,3,2023-01-29
user_14948,Rak Sepatu,Produk kotor dan tidak layak pakai.,2,2023-09-19
user_13372,Smartphone Android,Warna tidak sesuai pesanan.,3,2024-06-16
user_7046,Tas Wanita,Rating tinggi tapi kualitas rendah.,2,2023-04-01
user_22173,Skincare Serum,"Beli karena review bagus, ternyata zonk.",1,2023-04-22
user_7874,Jam Tangan Digital,Warna tidak sesuai pesanan.,3,2023-10-21
user_11442,Headset Gaming,Produk tidak sesuai gambar.,3,2024-01-14
user_12314,Jam Tangan Digital,Packing asal-asalan.,1,2023-05-30
user_24956,Smartphone Android,Warna tidak sesuai pesanan.,2,2024-01-25
user_16251,Keyboard Mechanical,Produk tidak sesuai gambar.,1,2023-09-20
user_24326,Headset Gaming,Ukuran tidak sesuai deskripsi.,3,2024-10-09
user_11218,Kursi Lipat,Baru dipakai sebentar sudah rusak.,1,2024-04-22
user_23256,Meja Belajar,Produk tidak sesuai gambar.,1,2023-01-18
user_10173,Lampu Tidur,Terlalu mahal untuk kualitas seperti ini.,1,2023-01-22
user_2443,Skincare Serum,Sudah komplain tapi tidak ada solusi.,2,2024-04-09
user_23757,Kursi Lipat,Barang rusak saat diterima.,1,2024-12-19
user_8991,Meja Belajar,Baru dipakai sebentar sudah rusak.,3,2023-09-15
user_16852,Smartphone Android,Produk tidak sesuai gambar.,3,2023-01-21
user_2111,Buku Catatan,Rating tinggi tapi kualitas rendah.,1,2023-08-11
user_16413,Flashdisk 64GB,Pengiriman sangat lama.,3,2023-01-13
user_20410,Flashdisk 64GB,Packing asal-asalan.,2,2024-09-12
user_12113,Smartphone Android,Sudah komplain tapi tidak ada solusi.,1,2023-10-02
user_17720,Skincare Serum,"Beli karena review bagus, ternyata zonk.",3,2024-06-20
user_12700,Kursi Lipat,Warna tidak sesuai pesanan.,2,2023-04-13
user_8307,Kaos Polos,Pengiriman sangat lama.,2,2024-06-26
user_7319,Parfum Wanita,Produk tidak sesuai gambar.,3,2023-12-08
user_3282,Meja Belajar,Sudah komplain tapi tidak ada solusi.,3,2024-11-16
user_3222,Meja Belajar,Terlalu mahal untuk kualitas seperti ini.,3,2024-07-10
user_14647,Kursi Lipat,Terlalu mahal untuk kualitas seperti ini.,2,2023-01-09
user_12779,Powerbank,Rating tinggi tapi kualitas rendah.,1,2024-02-23
user_23221,Smartphone Android,Kualitas sangat buruk.,2,2023-08-31
user_18893,Keyboard Mechanical,Rating tinggi tapi kualitas rendah.,2,2023-02-10
user_19340,Kaos Polos,Ukuran tidak sesuai deskripsi.,2,2024-06-28
user_4509,Parfum Wanita,"Beli karena review bagus, ternyata zonk.",2,2023-08-23
user_18362,Parfum Wanita,"Barang palsu, bukan original.",1,2023-10-05
user_10343,Kemeja Pria,Baru dipakai sebentar sudah rusak.,3,2024-02-27
user_4813,Tas Wanita,Barang tidak berfungsi dengan baik.,3,2024-02-26
user_6207,Tas Wanita,Ukuran tidak sesuai deskripsi.,2,2023-03-07
user_6630,Buku Catatan,Pengiriman sangat lama.,1,2024-11-20
user_12529,Skincare Serum,"Servis buruk, tidak profesional.",3,2023-01-17
user_21499,Makeup Set,Ukuran tidak sesuai deskripsi.,2,2024-05-03
user_11414,Skincare Serum,Packing asal-asalan.,2,2023-05-30
user_10120,Lampu Tidur,Tidak direkomendasikan sama sekali.,1,2023-08-30
user_18774,Flashdisk 64GB,Barang tidak berfungsi dengan baik.,2,2023-09-22
user_16016,Sepatu Sneakers,Barang tidak berfungsi dengan baik.,1,2024-03-07
user_11301,Mouse Wireless,Kualitas sangat buruk.,2,2024-04-17
user_4444,Tas Wanita,Tidak direkomendasikan sama sekali.,1,2023-12-19
user_12704,Headset Gaming,Ukuran tidak sesuai deskripsi.,2,2023-08-25
user_11071,Kursi Lipat,Ukuran tidak sesuai deskripsi.,2,2023-12-01
user_9318,Buku Catatan,Penjual tidak merespon chat.,3,2023-11-15
user_7034,Celana Jeans,Terlalu mahal untuk kualitas seperti ini.,2,2023-01-29
user_2949,Parfum Wanita,Produk tidak sesuai gambar.,3,2023-06-04
user_3425,Kursi Lipat,"Barang cacat, sangat mengecewakan.",1,2023-09-19
user_3045,Meja Belajar,Sudah komplain tapi tidak ada solusi.,3,2024-01-04
user_21342,Flashdisk 64GB,"Barang palsu, bukan original.",2,2024-07-05
user_15855,Makeup Set,"Barang cacat, sangat mengecewakan.",3,2023-07-20
user_4901,Powerbank,Sangat kecewa dengan produk ini.,1,2023-05-29
user_21129,Smartphone Android,Warna tidak sesuai pesanan.,2,2024-04-21
user_7030,Jam Tangan Digital,Penjual tidak merespon chat.,3,2023-01-02
user_12245,Smartphone Android,Barang rusak saat diterima.,1,2023-07-03
user_3194,Keyboard Mechanical,Produk kotor dan tidak layak pakai.,3,2023-09-25
user_4314,Tas Wanita,"Servis buruk, tidak profesional.",3,2023-08-01
user_14037,Rak Sepatu,Produk tidak sesuai gambar.,2,2023-06-27
user_5264,Kemeja Pria,"Barang cacat, sangat mengecewakan.",2,2024-02-28
user_20940,Makeup Set,Produk tidak sesuai gambar.,2,2024-11-01
user_1140,Lampu Tidur,Terlalu mahal untuk kualitas seperti ini.,2,2023-07-30
user_12091,Skincare Serum,Barang rusak saat diterima.,1,2024-12-13
user_5062,Sepatu Sneakers,Sudah komplain tapi tidak ada solusi.,2,2024-02-28
user_3040,Celana Jeans,Kualitas sangat buruk.,2,2023-07-19
user_22164,Skincare Serum,Produk kotor dan tidak layak pakai.,1,2023-09-05
user_19474,Kursi Lipat,"Barang palsu, bukan original.",1,2023-02-26
user_22488,Celana Jeans,"Servis buruk, tidak profesional.",3,2023-10-26
user_2823,Parfum Wanita,Barang rusak saat diterima.,3,2023-04-26
user_8731,Skincare Serum,"Barang cacat, sangat mengecewakan.",2,2023-06-10
user_11282,Kursi Lipat,Produk tidak sesuai gambar.,2,2024-11-06
user_10464,Buku Catatan,Sangat kecewa dengan produk ini.,3,2024-08-13
user_16396,Tas Wanita,Produk tidak sesuai gambar.,2,2024-07-08
user_6562,Flashdisk 64GB,Pengiriman sangat lama.,1,2024-11-12
user_15147,Parfum Wanita,Produk tidak sesuai gambar.,1,2024-09-04
